SPASE_ResourceName,HelioDate_short_name,SPASE_AlternateName,HelioDate_long_name
Snap Lake Geophysical Observatory,SNAP,['Observatory Station Code: SNAP'],Observatory Station Code: SNAP
Sodankyla,Sodankyla,['Observatory Station Code: SOD'],Observatory Station Code: SOD
Solund Geophysical Observatory,SOL,['Observatory Station Code: SOL'],Observatory Station Code: SOL
Soroya Geophysical Observatory,SOR,['Observatory Station Code: SOR'],Observatory Station Code: SOR
South Georgia,South Georgia,"['Grytviken', 'Observatory Station Code: SGE']",Observatory Station Code: SGE
South Pole,South Pole,['Observatory Station Code: SPA'],Observatory Station Code: SPA
St. John Geophysical Observatory,St. John Geophysical Observatory,['Observatory Station Code: STJ'],Observatory Station Code: STJ
Stanford Geophysical Observatory,STFD,['Observatory Station Code: STFD'],Observatory Station Code: STFD
Stekolnyy,Stekolnyy,"['Magadan', 'Observatory Station Code: MGD']",Observatory Station Code: MGD
Stennis Space Centre,Stennis Space Centre,"['Bay St. Louis', 'Observatory Station Code: BSL']",Observatory Station Code: BSL
STEP Observatory Group,STEP,"['Solar-Terrestrial Energy Program, STEP, Polar Network', 'UAPM', 'Upper Atmospheric Monitoring Program']",Solar Terrestrial Energy Program
Stepanovka,Stepanovka,['Observatory Station Code: ODE'],Observatory Station Code: ODE
Stonyhurst,Stonyhurst,['Observatory Station Code: STO'],Observatory Station Code: STO
Sukkertoppen,Sukkertoppen,['Observatory Station Code: SKT'],Observatory Station Code: SKT
Summit Geophysical Observatory,SUM,['Observatory Station Code: SUM'],Observatory Station Code: SUM
Surlari,Surlari,['Observatory Station Code: SUA'],Observatory Station Code: SUA
Swider,Swider,['Observatory Station Code: SWI'],Observatory Station Code: SWI
Tahiti,Tahiti,['Observatory Station Code: TAH'],Observatory Station Code: TAH
Talara,Talara,['Observatory Station Code: TAL'],Observatory Station Code: TAL
Tamanrasset,Tamanrasset,['Observatory Station Code: TAM'],Observatory Station Code: TAM
Tangerang,Tangerang,['Observatory Station Code: TNG'],Observatory Station Code: TNG
Tartu Geophysical Observatory,TAR,['Observatory Station Code: TAR'],Observatory Station Code: TAR
Tasiilaq Geophysical Observatory,Tasiilaq Geophysical Observatory,[''],Tasiilaq Geophysical Observatory
Tatuoca,Tatuoca,['Observatory Station Code: TTB'],Observatory Station Code: TTB
Tehran,Tehran,['Observatory Station Code: TEH'],Observatory Station Code: TEH
TEIDE Observatory,TEIDE Observatory,[''],TEIDE Observatory
Teoloyucan,Teoloyucan,['Observatory Station Code: TEO'],Observatory Station Code: TEO
Tromso Geophysical Observatory,Tromso Geophysical Observatory,['TGO'],TGO
The Pas,TPAS,"['Flin Flon', 'Observatory Station Code: TPAS']",Observatory Station Code: TPAS
Thule Air Base Geophysical Observatory,TAB,['Observatory Station Code: TAB'],Observatory Station Code: TAB
Tihany,Tihany,['Observatory Station Code: THY'],Observatory Station Code: THY
Tikhaya Bay,Tikhaya Bay,['Observatory Station Code: TKH'],Observatory Station Code: TKH
Tiksi Geophysical Observatory,TIK,['Observatory Station Code: TIK'],Observatory Station Code: TIK
Tirunelveli,Tirunelveli,['Observatory Station Code: TIR'],Observatory Station Code: TIR
Tokyo,Tokyo,['Observatory Station Code: TOK'],Observatory Station Code: TOK
Toledo,Toledo,['Observatory Station Code: TOL'],Observatory Station Code: TOL
Tomsk,Tomsk,['Observatory Station Code: TMK'],Observatory Station Code: TMK
Tondano,Tondano,['Observatory Station Code: TND'],Observatory Station Code: TND
Tonghai,Tonghai,['Observatory Station Code: THJ'],Observatory Station Code: THJ
Toolangi,Toolangi,['Observatory Station Code: TOO'],Observatory Station Code: TOO
Toolik Lake Geophysical Observatory,TOOL,[''],Toolik Lake Geophysical Observatory
Trapper Creek Geophysical Observatory,TRAP,[''],Trapper Creek Geophysical Observatory
Trelew,Trelew,['Observatory Station Code: TRW'],Observatory Station Code: TRW
Tristan Da Cunha Geophysical Observatory,TDC,['Observatory Station Code: TDC'],Observatory Station Code: TDC
Trivandrum 2,Trivandrum,['Observatory Station Code: TRD'],Observatory Station Code: TRD
Tromso Geophysical Observatory,TRO,['Observatory Station Code: TRO'],Tromso Geophysical Observatory
Tsumeb,Tsumeb,['Observatory Station Code: TSU'],Observatory Station Code: TSU
Tucson Geophysical Observatory,Tucson Geophysical Observatory,['Observatory Station Code: TUC'],Observatory Station Code: TUC
Tuntungan,Tuntungan,['Observatory Station Code: TUN'],Observatory Station Code: TUN
UAPM Observatory Group,UAPM Observatory Group,"['Upper Atmospheric Monitoring Program', 'STEP', 'Solar-Terrestrial Energy Program, STEP, Polar Network']","Solar-Terrestrial Energy Program, STEP, Polar Network"
Udaipur,Udaipur,[''],Udaipur
Ujjain,Ujjain,['Observatory Station Code: UJJ'],Observatory Station Code: UJJ
Ukiah Geophysical Observatory,UKIA,['Observatory Station Code: UKIA'],Observatory Station Code: UKIA
Ulan Bator,Ulan Bator,['Observatory Station Code: UBA'],Observatory Station Code: UBA
Upernavik Geophysical Observatory,UPN,[''],Upernavik Geophysical Observatory
Uppsala,Uppsala,"['Fiby', 'Observatory Station Code: UPS']",Observatory Station Code: UPS
United State Geological Survey,United State Geological Survey,['USGA'],USGA
Uummannaq Geophysical Observatory,UPS,['Observatory Station Code: UPS'],Observatory Station Code: UPS
Val-d'Or Geophysical Observatory,VLDR,['Observatory Station Code: VLDR'],Observatory Station Code: VLDR
Val Joyeux,Val Joyeux,['Observatory Station Code: VLJ'],Observatory Station Code: VLJ
Valentia,Valentia,['Observatory Station Code: VAL'],Observatory Station Code: VAL
Vassouras,Vassouras,['Observatory Station Code: VSS'],Observatory Station Code: VSS
Victoria Geophysical Observatory,Victoria Geophysical Observatory,['Observatory Station Code: VIC'],Observatory Station Code: VIC
Vieques,Vieques,['Observatory Station Code: VQS'],Observatory Station Code: VQS
Visakhapatnam,Visakhapatnam,['Observatory Station Code: VSK'],Observatory Station Code: VSK
Vize Island Geophysical Observatory,VIZ,['Observatory Station Code: VIZ'],Observatory Station Code: VIZ
Voeikovo,Voeikovo,"['Leningrad', 'Observatory Station Code: LNN']",Observatory Station Code: LNN
Vostok,Vostok,['Observatory Station Code: VOS'],Observatory Station Code: VOS
Vysokaya Dubrava,Vysokaya Dubrava,['Observatory Station Code: SVD'],Observatory Station Code: SVD
Wallops Island Geophysical Observatory,WLPS,['Observatory Station Code: WLPS'],Observatory Station Code: WLPS
World Data Center Ground Data Master Catalog,World Data Center Ground Data Master Catalog,"['WDC Ground Observatories', 'WDC']",WDC Ground Observatories
White Horse,White Horse,['Observatory Station Code: WHIT'],Observatory Station Code: WHIT
Whitehorse Geophysical Observatory,WHIT,['Observatory Station Code: WHS'],Observatory Station Code: WHS
Whiteshell,Whiteshell,['Observatory Station Code: WHS'],Observatory Station Code: WHS
Wien Auhof,Wien Auhof,['Observatory Station Code: WIA'],Observatory Station Code: WIA
Wien Kobenzl,Wien Kobenzl,['Observatory Station Code: WIK'],Observatory Station Code: WIK
Wilkes,Wilkes,['Observatory Station Code: WIL'],Observatory Station Code: WIL
Wingst,Wingst,['Observatory Station Code: WNG'],Observatory Station Code: WNG
Witteveen,Witteveen,['Observatory Station Code: WIT'],Observatory Station Code: WIT
Worthington Geophysical Observatory,WRTH,['Observatory Station Code: WRTH'],Observatory Station Code: WRTH
Wuhan,Wuhan,['Observatory Station Code: WHN'],Observatory Station Code: WHN
Yakutsk,Yakutsk,['Observatory Station Code: YAK'],Observatory Station Code: YAK
Yangi Bazar,Yangi Bazar,"['Tashkent', 'Observatory Station Code: TKT']",Observatory Station Code: TKT
Yellowknife Geophysical Observatory,Yellowknife Geophysical Observatory,"['Observatory Station Code: YKNF', 'Observatory Station Code: YKC']",Observatory Station Code: YKNF
Yuzhno Sakhalinsk,Yuzhno Sakhalinsk,['Observatory Station Code: YSS'],Observatory Station Code: YSS
Zaymishche,Zaymishche,['Observatory Station Code: KZN'],Observatory Station Code: KZN
HANET Observatory Network,HANET Observatory Network,[''],HANET Observatory Network
Hawkeye,Hawkeye,"['Hawkeye 1', 'Neutral Point Explorer', 'Injun-F', 'Explorer 52']",Neutral Point Explorer
Helios Mission,Helios,[''],Helios Mission
Helios 1,Helios 1,['Helios-A'],Helios-A
Helios 2,Helios 2,['Helios-B'],Helios-B
HEO-1,HEO 1,[''],HEO-1
HEO-2,HEO 2,[''],HEO-2
HEO-3,HEO 3,[''],HEO-3
Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES),Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES),[''],Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES)
Hinode,Hinode,[''],Hinode
Hinotori,Hinotori,"['1981-017A', 'Astronomical Satellite-A', 'ASTRO-A']",Astronomical Satellite-A
IAGA,IAGA,['International Association of Geomagnetism and Aeronomy'],International Association of Geomagnetism and Aeronomy
Aberystwyth,Aberystwyth,"['Aberystwyth', 'IAGA:AWY']",Aberystwyth
Abinger,Abinger,"['Abinger', 'IAGA:ABN']",IAGA:ABN
Abisko,Abisko,"['Abisko', 'IAGA:ABK']",IAGA:ABK
Accra,Accra,"['Accra', 'IAGA:ACR']",IAGA:ACR
Adak,Adak,"['Adak', 'IAGA:ADA']",IAGA:ADA
Addis Ababa,Addis Ababa,"['Addis.Ababa', 'IAGA:AAE']",Addis.Ababa
Adelaide,Adelaide,"['Adelaide', 'IAGA:ADE']",Adelaide
Aedey,Aedey,"['Aedey', 'IAGA:AED']",IAGA:AED
Agincourt,Agincourt,"['Agincourt', 'IAGA:AGN']",Agincourt
Ahmedabad,Ahmedabad,"['Ahmedabad', 'IAGA:AHM']",Ahmedabad
Alert,Alert,"['Alert', 'IAGA:ALE']",IAGA:ALE
Alger Island,Alger Island,"['Alger.Island', 'IAGA:ALG']",Alger.Island
Alibag,Alibag,"['Alibag', 'IAGA:ABG']",IAGA:ABG
Alice Springs,Alice Springs,"['Alice.Springs', 'IAGA:ASP']",Alice.Springs
Allahabad,Allahabad,"['Allahabad', 'IAGA:ALH']",Allahabad
Alma Ata,Alma Ata,"['Alma.Ata', 'IAGA:AAA']",Alma.Ata
Almeria,Almeria,"['Almeria', 'IAGA:ALM']",IAGA:ALM
Aloushta,Aloushta,"['Aloushta', 'IAGA:ALU']",Aloushta
Amatsia,Amatsia,"['Amatsia', 'IAGA:AMT']",IAGA:AMT
Ambarnaya,Ambarnaya,"['Ambarnaya', 'IAGA:AMN']",Ambarnaya
Amberley,Amberley,"['Amberley', 'IAGA:AML']",Amberley
Amderma,AMD,"['Amderma', 'IAGA:AMD']",IAGA:AMD
Anchorage,AMU,"['Anchorage', 'IAGA:AMU']",Anchorage
Ancon,Ancon,"['Ancon', 'IAGA:ANC']",IAGA:ANC
Andrews AFB,Andrews AFB,"['Andrews.AFB', 'IAGA:AWS']",Andrews.AFB
Angmakssalik,Angmakssalik,"['Angmakssalik', 'IAGA:AMK']",Angmakssalik
Angra Do Heroismo,Angra Do Heroismo,"['Angra.Do.Heroismo', 'IAGA:ANH']",Angra.Do.Heroismo
Ankara,Ankara,"['Ankara', 'IAGA:ANK']",IAGA:ANK
Annamalainagar,Annamalainagar,"['Annamalainagar', 'IAGA:ANN']",Annamalainagar
Antananarivo,Antananarivo,"['Antananarivo', 'IAGA:TAN']",Antananarivo
Antipolo,Antipolo,"['Antipolo', 'IAGA:ANO']",Antipolo
Apatity,Apatity,"['Apatity', 'IAGA:APA']",IAGA:APA
Apia,Apia,"['Apia', 'IAGA:API']",IAGA:API
Arctic Ice Flo,Arctic Ice Flo,"['Arctic.Ice.Flo', 'IAGA:AIF']",Arctic.Ice.Flo
Arctic Village,AVI,"['Arctic.Village', 'IAGA:AVI']",Arctic.Village
Arctowski,Arctowski,"['Arctowski', 'IAGA:ARC']",Arctowski
Arequipa,Arequipa,"['Arequipa', 'IAGA:ARE']",Arequipa
Argentine Island/Vernadski,Argentine Island Vernadski,"['Vernadski', 'IAGA:AIA']",Vernadski
Arkhangel'Sk,Arkhangel'Sk,"[""Arkhangel'Sk"", 'IAGA:ARK']",Arkhangel'Sk
Arti,Arti,"['Arti', 'IAGA:ARS']",IAGA:ARS
Ascension Island,Ascension Island,"['Ascension.Island', 'IAGA:ASC']",Ascension.Island
Ashkhabad/Vannovskaya,Ashkhabad Vannovskaya,"['Vannovskaya', 'IAGA:ASH']",Vannovskaya
Aso,Aso,"['Aso', 'IAGA:ASO']",IAGA:ASO
Asuka Station,Asuka Station,"['Asuka.Station', 'IAGA:ASK']",Asuka.Station
Athens,Athens,"['Athens', 'IAGA:ATH']",IAGA:ATH
Au-Tau,Au Tau,"['Au-Tau', 'IAGA:AUT']",IAGA:AUT
Auckland Island,Auckland Island,"['Auckland.Island', 'IAGA:AUI']",Auckland.Island
Averroes,Averroes,"['Averroes', 'IAGA:AVE']",Averroes
Back,Back,"['Back', 'IAGA:BKC']",IAGA:BKC
Baclieu,Baclieu,"['Baclieu', 'IAGA:BCL']",IAGA:BCL
Baffin Island,Baffin Island,"['Baffin.Island', 'IAGA:BFI']",Baffin.Island
Baghdad,Baghdad,"['Baghdad', 'IAGA:BGH']",IAGA:BGH
Baguio,Baguio,"['Baguio', 'IAGA:BAG']",IAGA:BAG
Baker Lake,BLC,"['Baker.Lake', 'IAGA:BLC']",Baker.Lake
Baldwin,Baldwin,"['Baldwin', 'IAGA:BAL']",IAGA:BAL
Bangkok,Bangkok,"['Bangkok', 'IAGA:BKK']",IAGA:BKK
Bangui,Bangui,"['Bangui', 'IAGA:BNG']",IAGA:BNG
Bar Gyora,Bar Gyora,"['Bar.Gyora', 'IAGA:BGY']",Bar.Gyora
Barentsburg,BBG,"['Barentsburg', 'IAGA:BBG']",Barentsburg
Barnaul,Barnaul,"['Barnaul', 'IAGA:BRN']",IAGA:BRN
Barrackpore,Barrackpore,"['Barrackpore', 'IAGA:BAP']",Barrackpore
Barrow,BRW,"['Barrow', 'IAGA:BRW']",IAGA:BRW
Barter Island,Barter Island,"['Barter.Island', 'IAGA:BTI']",Barter.Island
Barth,Barth,"['Barth', 'IAGA:BAH']",IAGA:BAH
Batavia,Batavia,"['Batavia', 'IAGA:BTV']",IAGA:BTV
Bay St Louis,Bay St Louis,"['Bay.St.Louis', 'IAGA:BSL']",Bay.St.Louis
Bei-Jing,Bei Jing,"['Bei-Jing', 'IAGA:BJI']",Bei-Jing
Beijing Ming Tombs,Beijing Ming Tombs,"['Beijing.Ming.Tombs', 'IAGA:BMT']",Beijing.Ming.Tombs
Beliy Island,Beliy Island,"['Beliy.Island', 'IAGA:BEY']",Beliy.Island
Beloit,Beloit,"['Beloit', 'IAGA:BLT']",IAGA:BLT
Belsk,Belsk,"['Belsk', 'IAGA:BEL']",IAGA:BEL
Berezniaki/Karaganda,Berezniaki Karaganda,"['Karaganda', 'IAGA:KGD']",Karaganda
Beuthen,Beuthen,"['Beuthen', 'IAGA:BEU']",IAGA:BEU
Big Delta,Big Delta,"['Big.Delta', 'IAGA:BDE']",Big.Delta
Binza,Binza,"['Binza', 'IAGA:BIN']",IAGA:BIN
Bjornoya,Bjornoya,"['Bjornoya', 'IAGA:BJN']",Bjornoya
Black Forest,Black Forest,"['Black.Forest', 'IAGA:BFO']",Black.Forest
Bochum,Bochum,"['Bochum', 'IAGA:BOC']",IAGA:BOC
Bodo,Bodo,"['Bodo', 'IAGA:BOD']",IAGA:BOD
Borga,Borga,"['Borga', 'IAGA:BGA']",IAGA:BGA
Borok,Borok,"['Borok', 'IAGA:BOX']",IAGA:BOX
Bossekop,Bossekop,"['Bossekop', 'IAGA:BOP']",Bossekop
Boulder,BOU,"['Boulder', 'IAGA:BOU']",IAGA:BOU
Bouzareah,Bouzareah,"['Bouzareah', 'IAGA:BZR']",Bouzareah
Breslau,Breslau,"['Breslau', 'IAGA:BRE']",IAGA:BRE
Brisbane,Brisbane,"['Brisbane', 'IAGA:BRS']",Brisbane
Brorfelde,BFE,"['Brorfelde', 'IAGA:BFE']",Brorfelde
Bucharest,Bucharest,"['Bucharest', 'IAGA:BUC']",Bucharest
Budakeszi,Budakeszi,"['Budakeszi', 'IAGA:BUZ']",Budakeszi
Budapest,Budapest,"['Budapest', 'IAGA:BUP']",Budapest
Budkov,Budkov,"['Budkov', 'IAGA:BDV']",IAGA:BDV
Bunia,Bunia,"['Bunia', 'IAGA:BNA']",IAGA:BNA
Burlington,Burlington,"['Burlington', 'IAGA:BRT']",Burlington
Byrd Station 1,Byrd Station 1,"['Byrd.Station.1', 'IAGA:BYR']",Byrd.Station.1
Cachoeira Paulista,Cachoeira Paulista,"['Cachoeira.Paulista', 'IAGA:CHP']",Cachoeira.Paulista
Cambridge Bay,CBB,"['Cambridge.Bay', 'IAGA:CBB']",Cambridge.Bay
Camp Douglas,Camp Douglas,"['Camp.Douglas', 'IAGA:CDS']",Camp.Douglas
Campbell Island,Campbell Island,"['Campbell.Island', 'IAGA:CAI']",Campbell.Island
Canberra,Canberra,"['Canberra', 'IAGA:CNB']",Canberra
Cap Thordsen,Cap Thordsen,"['Cap.Thordsen', 'IAGA:CTH']",Cap.Thordsen
Cape Chelyuskin,Cape Chelyuskin,"['Cape.Chelyuskin', 'IAGA:CCS']",Cape.Chelyuskin
Cape Denison,Cape Denison,"['Cape.Denison', 'IAGA:CDE']",Cape.Denison
Cape Evans,Cape Evans,"['Cape.Evans', 'IAGA:CEV']",Cape.Evans
Cape Kamenniy,Cape Kamenniy,"['Cape.Kamenniy', 'IAGA:CKA']",Cape.Kamenniy
Cape Of Good Hope,Cape Of Good Hope,"['Cape.Of.Good.Hope', 'IAGA:CGH']",Cape.Of.Good.Hope
Cape Parry,Cape Parry,"['Cape.Parry', 'IAGA:CPY']",Cape.Parry
Cape Schmidt,Cape Schmidt,"['Cape.Schmidt', 'IAGA:CPS']",Cape.Schmidt
Cape Town,Cape Town,"['Cape.Town', 'IAGA:CTO']",Cape.Town
Cape Wellen,Cape Wellen,"['Cape.Wellen', 'IAGA:CWE']",Cape.Wellen
Cape Zhelania,Cape Zhelania,"['Cape.Zhelania', 'IAGA:CZA']",Cape.Zhelania
Capodimonte,Capodimonte,"['Capodimonte', 'IAGA:CPD']",Capodimonte
Capri,Capri,"['Capri', 'IAGA:CPI']",IAGA:CPI
Carrollton,Carrollton,"['Carrollton', 'IAGA:CAX']",Carrollton
Casey,Casey,"['Casey', 'IAGA:CSY']",IAGA:CSY
Casper,Casper,"['Casper', 'IAGA:CSR']",IAGA:CSR
Castellaccio,Castellaccio,"['Castellaccio', 'IAGA:CAO']",Castellaccio
Castello Tesino,Castello Tesino,"['Castello.Tesino', 'IAGA:CTS']",Castello.Tesino
Castle Rock,Castle Rock,"['Castle.Rock', 'IAGA:CRC']",Castle.Rock
Cebu,Cebu,"['Cebu', 'IAGA:CCP']",IAGA:CCP
Cha-Pa,Cha Pa,"['Cha-Pa', 'IAGA:CPA']",IAGA:CPA
Chambon La Foret,Chambon La Foret,"['Chambon.La.Foret', 'IAGA:CLF']",Chambon.La.Foret
Changchun,Changchun,"['Changchun', 'IAGA:CNH']",Changchun
Charcot,Charcot,"['Charcot', 'IAGA:CTX']",IAGA:CTX
Charters Towers,Charters Towers,"['Charters.Towers', 'IAGA:CTA']",Charters.Towers
Cheltenham,Cheltenham,"['Cheltenham', 'IAGA:CLH']",Cheltenham
Chengdu,Chengdu,"['Chengdu', 'IAGA:CDP']",IAGA:CDP
Chesterfield Inlet,Chesterfield Inlet,"['Chesterfield.Inlet', 'IAGA:CFI']",Chesterfield.Inlet
Chichijima,Chichijima,"['Chichijima', 'IAGA:CBI']",Chichijima
Chiclayo,Chiclayo,"['Chiclayo', 'IAGA:CCL']",Chiclayo
Chilbolton,Chilbolton,"['Chilbolton', 'IAGA:CLB']",Chilbolton
Chimbote,Chimbote,"['Chimbote', 'IAGA:CMB']",Chimbote
Chiripa,Chiripa,"['Chiripa', 'IAGA:CRP']",IAGA:CRP
Chittagong,Chittagong,"['Chittagong', 'IAGA:CHT']",Chittagong
Christchurch,Christchurch,"['Christchurch', 'IAGA:CHR']",Christchurch
Clausthal,Clausthal,"['Clausthal', 'IAGA:CLZ']",Clausthal
Climax,Climax,"['Climax', 'IAGA:CLI']",IAGA:CLI
Coimbra,Coimbra,"['Coimbra', 'IAGA:COI']",IAGA:COI
Colaba,Colaba,"['Colaba', 'IAGA:CLA']",IAGA:CLA
College,CMO,"['College', 'IAGA:CMO']",IAGA:CMO
Collmberg,Collmberg,"['Collmberg', 'IAGA:CLL']",Collmberg
Colorado Springs,Colorado Springs,"['Colorado.Springs', 'IAGA:CSS']",Colorado.Springs
Copenhagen,Copenhagen,"['Copenhagen', 'IAGA:COP']",Copenhagen
Crozet/Port Alfred,Crozet Port Alfred,"['Port.Alfred', 'IAGA:CZT']",Port.Alfred
Cuajimalpa,Cuajimalpa,"['Cuajimalpa', 'IAGA:CUA']",Cuajimalpa
Cuzco,Cuzco,"['Cuzco', 'IAGA:CUS']",IAGA:CUS
Dalat,Dalat,"['Dalat', 'IAGA:DLT']",IAGA:DLT
Dalian,Dalian,"['Dalian', 'IAGA:DLN']",IAGA:DLN
Dallas,Dallas,"['Dallas', 'IAGA:DAL']",IAGA:DAL
Dar Es Salaam,Dar Es Salaam,"['Dar.Es.Salaam', 'IAGA:DRS']",Dar.Es.Salaam
Darwin,Darwin,"['Darwin', 'IAGA:DAR']",IAGA:DAR
Davao,Davao,"['Davao', 'IAGA:DAV']",IAGA:DAV
Davis,Davis,"['Davis', 'IAGA:DVS']",IAGA:DVS
De Bilt,De Bilt,"['De.Bilt', 'IAGA:DBN']",IAGA:DBN
Dehra Dun,Dehra Dun,"['Dehra.Dun', 'IAGA:DDI']",Dehra.Dun
Dekelia,Dekelia,"['Dekelia', 'IAGA:DEK']",IAGA:DEK
Del Rio,Del Rio,"['Del.Rio', 'IAGA:DLR']",IAGA:DLR
Discovery Bay North,Discovery Bay North,"['Discovery.Bay.North', 'IAGA:DIS']",Discovery.Bay.North
Discovery Bay South,Discovery Bay South,"['Discovery.Bay.South', 'IAGA:HUT']",Discovery.Bay.South
Dixon,Dixon,"['Dixon', 'IAGA:DIK']",IAGA:DIK
Djibouti,Djibouti,"['Djibouti', 'IAGA:DJI']",Djibouti
Dombas,DOB,"['Dombas', 'IAGA:DOB']",IAGA:DOB
Dome Concordia,Dome Concordia,"['Dome.Concordia', 'IAGA:DMC']",Dome.Concordia
Dome Fuji,Dome Fuji,"['Dome.Fuji', 'IAGA:DMF']",Dome.Fuji
Donnersberg,Donnersberg,"['Donnersberg', 'IAGA:DNB']",Donnersberg
Dourbes,Dourbes,"['Dourbes', 'IAGA:DOU']",IAGA:DOU
Dublin,Dublin,"['Dublin', 'IAGA:DUB']",IAGA:DUB
Dumont Durville,Dumont Durville,"['Dumont.Durville', 'IAGA:DRV']",Dumont.Durville
Durham,Durham,"['Durham', 'IAGA:DUR']",IAGA:DUR
Dusheti,Dusheti,"['Dusheti', 'IAGA:TFS']",IAGA:TFS
Dymer,Dymer,"['Dymer', 'IAGA:KIV']",IAGA:KIV
East Anglia,East Anglia,"['East.Anglia', 'IAGA:EAA']",East.Anglia
Easter Island,Easter Island,"['Easter.Island', 'IAGA:EIC']",Easter.Island
Eastport,Eastport,"['Eastport', 'IAGA:ETP']",Eastport
Ebro,Ebro,"['Ebro', 'IAGA:EBR']",IAGA:EBR
Eielson AFB,Eielson AFB,"['Eielson.AFB', 'IAGA:ENB']",Eielson.AFB
Eights Station,Eights Station,"['Eights.Station', 'IAGA:EGS']",Eights.Station
Eilat,Eilat,"['Eilat', 'IAGA:ELT']",IAGA:ELT
El Abiod Sidi,El Abiod Sidi,"['El.Abiod.Sidi', 'IAGA:EAS']",El.Abiod.Sidi
Elizabethville,Elizabethville,"['Elizabethville', 'IAGA:ELI']",Elizabethville
Enkoping,Enkoping,"['Enkoping', 'IAGA:ENK']",Enkoping
Esashi,Esashi,"['Esashi', 'IAGA:ESA']",IAGA:ESA
Eskdalemuir,Eskdalemuir,"['Eskdalemuir', 'IAGA:ESK']",Eskdalemuir
Eskimo Point,Eskimo Point,"['Eskimo.Point', 'IAGA:EKP']",Eskimo.Point
Espanola,Espanola,"['Espanola', 'IAGA:EPN']",Espanola
Etah,Etah,"['Etah', 'IAGA:ETA']",IAGA:ETA
Etaiyapuram,Etaiyapuram,"['Etaiyapuram', 'IAGA:ETT']",Etaiyapuram
Eureka,Eureka,"['Eureka', 'IAGA:EUA']",IAGA:EUA
Eusebio,Eusebio,"['Eusebio', 'IAGA:EUS']",IAGA:EUS
Eyrewell,Eyrewell,"['Eyrewell', 'IAGA:EYR']",Eyrewell
Falmouth,Falmouth,"['Falmouth', 'IAGA:FAL']",Falmouth
Fanning Island,Fanning Island,"['Fanning.Island', 'IAGA:FAN']",Fanning.Island
Flensburg,Flensburg,"['Flensburg', 'IAGA:FLE']",Flensburg
Floeberg Beach,Floeberg Beach,"['Floeberg.Beach', 'IAGA:FLB']",Floeberg.Beach
Fort Chipewyan,Fort Chipewyan,"['Fort.Chipewyan', 'IAGA:FCP']",Fort.Chipewyan
Fort Churchill 2,Fort Churchill,"['Fort.Churchill.2', 'IAGA:FCC']",Fort.Churchill.2
Fort Conger,Fort Conger,"['Fort.Conger', 'IAGA:FCR']",Fort.Conger
Fort Mcmurray,Fort Mcmurray,"['Fort.Mcmurray', 'IAGA:FMM']",Fort.Mcmurray
Fort Rae,Fort Rae,"['Fort.Rae', 'IAGA:FRA']",Fort.Rae
Fort Severn,Fort Severn,"['Fort.Severn', 'IAGA:FSV']",Fort.Severn
Fort Simpson,FSP,"['Fort.Simpson', 'IAGA:FSP']",Fort.Simpson
Fort Smith,FSM,"['Fort.Smith', 'IAGA:FSM']",Fort.Smith
Fort Yukon,FYU,"['Fort.Yukon', 'IAGA:FYU']",Fort.Yukon
Fredericksburg,FRD,"['Fredericksburg', 'IAGA:FRD']",Fredericksburg
Freetown,Freetown,"['Freetown', 'IAGA:FTN']",Freetown
Freiberg,Freiberg,"['Freiberg', 'IAGA:FRB']",Freiberg
Fresno,FRN,"['Fresno', 'IAGA:FRN']",IAGA:FRN
Fuquene,Fuquene,"['Fuquene', 'IAGA:FUQ']",IAGA:FUQ
Furstenfeldbruck,Furstenfeldbruck,"['Furstenfeldbruck', 'IAGA:FUR']",Furstenfeldbruck
Gauss Station,Gauss Station,"['Gauss.Station', 'IAGA:GAS']",Gauss.Station
Gelania,Gelania,"['Gelania', 'IAGA:GEL']",IAGA:GEL
Genova C,Genova C,"['Genova.C', 'IAGA:GEN']",Genova.C
Genova Monte Capellino,Genova Monte Capellino,"['Genova.Monte.Capellino', 'IAGA:MCP']",Genova.Monte.Capellino
Georg Von Neumayer,Georg Von Neumayer,"['Georg.Von.Neumayer', 'IAGA:GVN']",Georg.Von.Neumayer
Gibilmanna,Gibilmanna,"['Gibilmanna', 'IAGA:GIB']",Gibilmanna
Gilgit,Gilgit,"['Gilgit', 'IAGA:GIT']",IAGA:GIT
Gillam,GIM,"['Gillam', 'IAGA:GIM']",IAGA:GIM
Girardville,Girardville,"['Girardville', 'IAGA:GIR']",Girardville
Gjoahavn,Gjoahavn,"['Gjoahavn', 'IAGA:GJO']",Gjoahavn
Glenlea,Glenlea,"['Glenlea', 'IAGA:GLN']",IAGA:GLN
Gnangara,Gnangara,"['Gnangara', 'IAGA:GNA']",Gnangara
Godhavn,Godhavn,"['Godhavn', 'IAGA:GDH']",IAGA:GDH
Godthaab,Godthaab,"['Godthaab', 'IAGA:GHB']",Godthaab
Golmud,Golmud,"['Golmud', 'IAGA:GLM']",IAGA:GLM
Gonzales Videla,Gonzales Videla,"['Gonzales.Videla', 'IAGA:GVD']",Gonzales.Videla
Gornotayezhnaya/Vladivostok,Gornotayezhnaya Vladivostok,"['Vladivostok', 'IAGA:VLA']",Vladivostok
